代碼,學校名稱,地址,電話,座標地址
011X22,新北市私立台大幼兒園,[220]新北市板橋區華中里5鄰僑中一街80巷7弄1號1樓、1之1號2樓,(02)29691212,新北市板橋區僑中一街80巷7弄1號
011X28,新北市私立中仁幼兒園,[235]新北市中和區明穗里12鄰民享街92巷19.21.23號1樓,(02)22221088,新北市中和區民享街92巷19.21.23號
011X35,新北市私立白兔幼兒園,[235]新北市中和區佳和里19鄰中山路二段2巷77，79號,(02)22439923,新北市中和區中山路二段2巷77，79號
011X38,新北市私立永愛幼兒園,[235]新北市中和區秀義里13鄰秀朗路三段128巷12弄7號,(02)29423775,新北市中和區秀朗路三段128巷12弄7號
011X39,財團法人天主教會臺北教區附設新北市私立玫瑰幼兒園,[235]新北市中和區景福里9鄰景平路329巷1弄5號,(02)89418738,新北市中和區景平路329巷1弄5號
011X42,新北市私立德明幼兒園,[235]新北市中和區福真里27鄰中山路二段312巷3弄7號1樓、1弄8號1樓,(02)22433032,新北市中和區中山路二段312巷3弄7號
011X44,新北市私立中和松柏幼兒園,[235]新北市中和區國光里14鄰國光街112巷38號、40號、42號,(02)29522578,新北市中和區國光街112巷38號
011X45,新北市私立中和宏仁幼兒園,[235]新北市中和區秀水里28鄰大仁街20巷25弄37.39號,(02)29422579,新北市中和區大仁街20巷25弄37.39號
011X53,新北市私立奧爾仕幼兒園,[234]新北市永和區水源里20鄰保平路203巷2號,(02)22314384,新北市永和區保平路203巷2號
011X54,新北市私立景平幼兒園,[235]新北市中和區景福里14鄰和平街54巷1弄4.6號,(02)29431030,新北市中和區和平街54巷1弄4.6號
011X56,新北市私立華人幼兒園,[235]新北市中和區秀水里11鄰大仁街10巷52號,(02)29416158,新北市中和區大仁街10巷52號
011X57,新北市私立全晟幼兒園,[235]新北市中和區碧河里2鄰連城路219巷9.11.13.15號,(02)22408901,新北市中和區連城路219巷9.11.13.15號
011X61,新北市私立偉恩幼兒園,[235]新北市中和區明德里21鄰華順街103巷1號,(02)29551153,新北市中和區華順街103巷1號
011X62,新北市私立聖母幼兒園,[237]新北市三峽區中埔里3鄰中園街71-1號,(02)86713100,新北市三峽區中園街71-1號
011X69,新北市私立永達幼兒園,[234]新北市永和區永福里3鄰永貞路39巷9弄7號、9號,(02)29228387,新北市永和區永貞路39巷9弄7號
011X71,新北市私立佳美幼兒園,[234]新北市永和區福和里11鄰永利路8號,(02)29213700,新北市永和區永利路8號
011X72,新北市私立新佳美幼兒園,[234]新北市永和區得和里18鄰中正路412巷4弄8、10、12、14號,(02)29218644,新北市永和區中正路412巷4弄8、10、12、14號
011X74,財團法人新北市私立竹林國民小學附設幼兒園,[234]新北市永和區勵行里16鄰竹林路34號,(02)29252401,新北市永和區竹林路34號
011X75,財團法人新北市私立及人國民小學附設新北市私立幼兒園,[234]新北市永和區新部里6鄰文化路172號,(02)29213804,新北市永和區文化路172號
011X77,新北市私立三暉幼兒園,[234]新北市永和區秀和里9鄰永亨路115巷2號、4號1樓,(02)29220778,新北市永和區永亨路115巷2號
011X79,新北市私立七賢幼兒園,[234]新北市永和區竹林里1鄰竹林路119巷10弄6號,(02)89277171,新北市永和區竹林路119巷10弄6號
011X80,新北市私立微笑太陽幼兒園,[234]新北市永和區雙和里13鄰中和路305巷10弄1.3號,(02)29216210,新北市永和區中和路305巷10弄1.3號
011X82,新北市私立秀明幼兒園,[234]新北市永和區民權里2鄰民權路1巷24號、26號,(02)29435335,新北市永和區民權路1巷24號
011X84,新北市私立嘉樂幼兒園,[234]新北市永和區安和里10鄰中和路501巷17號,(02)29255484,新北市永和區中和路501巷17號
011X86,新北市私立三愛幼兒園,[231]新北市新店區安和里5鄰安民街269巷14、16號,(02)22113062,新北市新店區安民街269巷14、16號
011X87,新北市私立偉智幼兒園,[231]新北市新店區美城里7鄰永業路81巷25號1、2樓,(02)29156878,新北市新店區永業路81巷25號
011X88,新北市私立三民幼兒園,[231]新北市新店區寶安里34鄰民權路11巷3號,(02)29151151,新北市新店區民權路11巷3號
011X91,新北市私立佳恩幼兒園,[231]新北市新店區張北里21鄰德正街27巷29弄8號,(02)29114466,新北市新店區德正街27巷29弄8號
011X92,財團法人天主教台灣省國籍主顧傳教修女會附設新北市私立育新幼兒園,[231]新北市新店區中正里16鄰三民路19號,(02)29158300#101,新北市新店區三民路19號
011X9A,新北市私立愛唯兒幼兒園,[220]新北市板橋區龍翠里3鄰大同街50巷18號1、2、3樓,(02)82512888,新北市板橋區大同街50巷18號
011X9B,新北市私立昌平幼兒園,[242]新北市新莊區昌平里8鄰昌平街200號,(02)85215517,新北市新莊區昌平街200號
011X9C,財團法人台北基督教女青年會附設新北市私立員工實驗幼兒園（新北市政府委託辦理）,[220]新北市板橋區福丘里13鄰中山路一段161號2樓西側,(02)29603456#5207,新北市板橋區中山路一段161號
011X9D,新北市私立凱思莉幼兒園,[220]新北市板橋區文聖里8鄰文聖街137號1樓、夾層、b1,(02)82521364,新北市板橋區文聖街137號
011X9L,新北市私立大恩幼兒園,[220]新北市板橋區介壽里3鄰介壽街23號及25號1樓,(02)22585685,新北市板橋區介壽街23號
011X9M,新北市私立快樂貝比幼兒園,[220]新北市板橋區純翠里7鄰吳鳳路17巷22號1樓及24號1樓,(02)22554346,新北市板橋區吳鳳路17巷22號
011X9O,新北市私立三元幼兒園,[220]新北市板橋區聯翠里1鄰民生路三段10號3樓,(02)82533120,新北市板橋區民生路三段10號
011X9P,新北市私立惠琪幼兒園,[220]新北市板橋區永安里10鄰萬板路190號1樓及1樓之1,(02)22575107,新北市板橋區萬板路190號
011X9S,新北市私立圓心坊幼兒園,[220]新北市板橋區文聖里16鄰大同街57號1樓,(02)82523737,新北市板橋區大同街57號
011X9U,新北市私立蘇格拉底幼兒園,[220]新北市板橋區埤墘里2鄰莒光路211號2、3樓,(02)82585511,新北市板橋區莒光路211號
011X9W,新北市私立科見板橋幼兒園,[220]新北市板橋區福丘里7鄰中山路一段69號2樓及3樓,(02)89517548,新北市板橋區中山路一段69號
011X9X,新北市私立古典幼兒園,[220]新北市板橋區柏翠里16鄰雙十路三段12號2樓,(02)82570020,新北市板橋區雙十路三段12號
011X9Y,新北市私立緹家寶幼兒園,[220]新北市板橋區新海里2鄰新海路416號1、2、3樓,(02)22512872,新北市板橋區新海路416號
011X9Z,新北市私立心耶魯幼兒園,[220]新北市板橋區文聖里15鄰文聖街149巷6號1樓,(02)22520462,新北市板橋區文聖街149巷6號
011XA0,新北市私立吉的堡皇家貴族幼兒園,[220]新北市板橋區堂春里19鄰金門街215巷10號、14號,(02)86871357,新北市板橋區金門街215巷10號
011XA1,新北市私立勁寶兒幼兒園,[220]新北市板橋區長安里14鄰板新路101號2樓,(02)89518905,新北市板橋區板新路101號
011XA2,新北市私立優兒幼兒園,[220]新北市板橋區後埔里7鄰成都街103號1樓,(02)29627559,新北市板橋區成都街103號
011XA4,新北市私立禾稼幼兒園,[220]新北市板橋區溪洲里2鄰溪崑二街98號,(02)26819226,新北市板橋區溪崑二街98號
011XA6,新北市私立心世紀幼兒園,[220]新北市板橋區忠翠里24鄰雙十路二段213號3樓,(02)82512771,新北市板橋區雙十路二段213號
011XA7,新北市私立悅嘉幼兒園,[220]新北市板橋區忠翠里20鄰雙十路二段149號2樓,(02)82586747,新北市板橋區雙十路二段149號
011XA8,新北市私立全能愛彌兒板橋幼兒園,[220]新北市板橋區玉光里21鄰中山路二段89巷6弄9號1樓及2樓、永豐街43號3樓,(02)29541585,新北市板橋區中山路二段89巷6弄9號
011XA9,新北市私立育太幼兒園,[220]新北市板橋區廣德里1鄰重慶路223巷7號1樓、2樓及3樓,(02)89538511,新北市板橋區重慶路223巷7號
011XAB,新北市私立仕揚幼兒園,[220]新北市板橋區廣德里1鄰重慶路207號1樓及2樓,(02)29614011,新北市板橋區重慶路207號
011XAC,新北市私立吉莉安幼兒園,[220]新北市板橋區福星里15鄰忠孝路96號1、2樓,(02)89646405,新北市板橋區忠孝路96號
011XAD,新北市私立喬一幼兒園,[220]新北市板橋區雙玉里1鄰三民路一段120號2樓、122號2樓及126號2樓,(02)89513738,新北市板橋區三民路一段120號
011XAE,新北市私立永錡板橋幼兒園,[220]新北市板橋區溪福里34鄰金門街358巷14號1樓、358巷16號1樓及2樓、372巷32號1樓及2樓、372巷34號1樓及2樓,(02)26758622,新北市板橋區金門街358巷14號
011Xaf,新北市私立生活村幼兒園,[220]新北市板橋區民族里16鄰漢生東路350號地下1層、2樓及3樓,(02)29646599,新北市板橋區漢生東路350號
011XAG,陽光森林文教股份有限公司臺北縣分公司附設新北市私立陽光小子幼兒園,[220]新北市板橋區福壽里11鄰三民路二段215號1、2樓,(02)29555576,新北市板橋區三民路二段215號
011XAI,新北市私立亞特幼兒園,[220]新北市板橋區國光里6鄰國光路53號1樓,(02)29687719,新北市板橋區國光路53號
011XAJ,新北市私立欣勵德幼兒園,[220]新北市板橋區溪福里5鄰篤行路二段161巷18號1樓,(02)26878741,新北市板橋區篤行路二段161巷18號
011XAK,新北市私立鹿兒堡幼兒園,[220]新北市板橋區廣德里2鄰重慶路269巷18號1樓,(02)29648439,新北市板橋區重慶路269巷18號
011XAL,新北市私立艾法薇爾幼兒園,[220]新北市板橋區忠翠里21鄰雙十路二段85號1樓及87號1樓、87號2樓,(02)82511545,新北市板橋區雙十路二段85號
011XAM,新北市私立福音幼兒園,[220]新北市板橋區福丘里4鄰民族路8號2樓,(02)29518767,新北市板橋區民族路8號
011XAN,新北市私立康園幼兒園,[220]新北市板橋區嵐翠里10鄰文聖街89巷17號2樓、19號3樓,(02)82586586,新北市板橋區文聖街89巷17號
011XAO,新北市私立卡爾斯登幼兒園,[220]新北市板橋區忠翠里22鄰莊敬路42號1樓、2樓及3樓,(02)82532319,新北市板橋區莊敬路42號
011XAR,新北市私立優貝兒幼兒園,[220]新北市板橋區福壽里1鄰三民路二段正隆巷61號、63號及65號1樓,(02)29638097,新北市板橋區三民路二段正隆巷61號
011XAT,新北市私立菩提幼兒園,[220]新北市板橋區堂春里17鄰金門街251號1樓及2樓,(02)26842525,新北市板橋區金門街251號
011XAV,新北市私立樂安幼兒園,[220]新北市板橋區公?里2鄰文化路一段293號2樓,(02)22565155,新北市板橋區文化路一段293號
011XAW,新北市私立巧宇幼兒園,[220]新北市板橋區嵐翠里10鄰文聖街73號2樓,(02)22545050,新北市板橋區文聖街73號
011XAX,新北市私立發現小熊森林幼兒園,[220]新北市板橋區忠翠里25鄰文化路二段182巷1弄12號3樓之1,(02)22548040,新北市板橋區文化路二段182巷1弄12號
011XAY,新北市私立夏恩雙響幼兒園,[220]新北市板橋區忠翠里27鄰文化路二段182巷3弄50號1樓,(02)82512376,新北市板橋區文化路二段182巷3弄50號
011XB0,新北市私立聖路易幼兒園,[220]新北市板橋區華東里6鄰南雅南路二段156號1樓、144巷5號1樓、144巷7號1樓、144巷3號2樓之3、144巷3號2樓之4,(02)89666917,新北市板橋區南雅南路二段156號
011XB1,新北市私立嘉盛幼兒園,[220]新北市板橋區後埔里11鄰實踐路76之1號2樓、76之2號3樓,(02)89533958,新北市板橋區實踐路76之1號
011XB2,新北市私立晨暘幼兒園,[220]新北市板橋區介壽里13鄰文化路一段270巷3弄3、5、7、9號1、2樓,(02)22587399,新北市板橋區文化路一段270巷3弄3、5、7、9號
011XB4,新北市私立葳肯幼兒園,[220]新北市板橋區社後里14鄰中正路213號2樓,(02)22728080,新北市板橋區中正路213號
011XB5,新北市私立喬幼光明幼兒園,[220]新北市板橋區福星里8鄰光明街68號1樓、68之1號2樓,(02)29637600,新北市板橋區光明街68號
011XB6,新北市私立喬育幼兒園,[220]新北市板橋區純翠里11鄰民生路三段248號2樓,(02)22548009,新北市板橋區民生路三段248號
011XB7,新北市私立諾亞幼兒園,[220]新北市板橋區建國里1鄰中正路162號2樓及建國街1號1樓、夾層及2樓,(02)29672384,新北市板橋區中正路162號
011XB8,新北市私立靜立幼兒園,[220]新北市板橋區朝陽里1鄰四維路289巷38號、40號及42號,(02)22568628,新北市板橋區四維路289巷38號
011XBA,新北市私立寶仁幼兒園,[220]新北市板橋區忠翠里25鄰文化路二段182巷1弄8號2樓、3弄9號1樓,(02)22500102,新北市板橋區文化路二段182巷1弄8號
011XBB,新北市私立寶貝世界幼兒園,[220]新北市板橋區港尾里10鄰中正路332號2樓,(02)29601100,新北市板橋區中正路332號
011XBC,新北市私立雅森幼兒園,[220]新北市板橋區新翠里20鄰英士路39號2樓,(02)22589338,新北市板橋區英士路39號
011XBG,新北市私立雨農幼兒園,[220]新北市板橋區新翠里27鄰雨農路27巷2號2樓,(02)22519395,新北市板橋區雨農路27巷2號
011XBH,新北市私立小豆芽幼兒園,[220]新北市板橋區德翠里19鄰龍泉街108巷6號1樓,(02)22515098,新北市板橋區龍泉街108巷6號
011XBI,新北市私立漂亮寶貝幼兒園,[220]新北市板橋區成和里16鄰金門街215巷21號、25號及29號,(02)26876767,新北市板橋區金門街215巷21號
011XBJ,新北市私立漢東幼兒園,[220]新北市板橋區長安里7鄰漢生東路175號1樓及2樓,(02)89521219,新北市板橋區漢生東路175號
011XBL,新北市私立慧晟幼兒園,[220]新北市板橋區廣新里14鄰永豐街123號1樓、123之1號2樓及123之2號3樓,(02)29513571,新北市板橋區永豐街123號
011XBN,新北市私立興名陽幼兒園,[220]新北市板橋區僑中里2鄰僑中二街102巷37號1樓及2樓,(02)29606016,新北市板橋區僑中二街102巷37號
011XBS,新北市私立蘋果樹幼兒園,[241]新北市三重區溪美里10鄰福隆路48號1樓,(02)89882386,新北市三重區福隆路48號
011XBT,新北市私立彩虹城堡幼兒園,[241]新北市三重區六合里9鄰自強路2段47巷12號1樓,(02)89811458,新北市三重區自強路2段47巷12號
011XBW,新北市私立丹力幼兒園,[241]新北市三重區幸福里32鄰重陽路3段154號1樓、152號2樓,(02)89883300,新北市三重區重陽路3段154號
011XC0,新北市私立惠文兒童領袖幼兒園,[241]新北市三重區富貴里24鄰五華街207號1、2、3樓,(02)28570626,新北市三重區五華街207號
011XC1,新北市私立天鵝園幼兒園,[241]新北市三重區三民里5鄰中正北路118巷3號1樓,(02)29711973,新北市三重區中正北路118巷3號
011XC3,新北市私立長頸鹿吉凱幼兒園,[241]新北市三重區谷王里1鄰興德路100號1~2樓,(02)85121800,新北市三重區興德路100號
011XC4,新北市私立全能愛彌兒幼兒園,[241]新北市三重區福祉里8鄰集美街121號1樓及2樓、119號2樓、成功路73巷35號2樓,(02)29778696,新北市三重區集美街121號
011XC5,新北市私立吉的堡英群幼兒園,[241]新北市三重區福祉里18鄰捷運路2號1、2樓,(02)29703228,新北市三重區捷運路2號
011XC6,新北市私立吉的堡英資幼兒園,[241]新北市三重區六合里1鄰重陽路4段24號、26號、28號1~3樓,(02)29855548,新北市三重區重陽路4段24號
011XC8,新北市私立美利肯幼兒園,[241]新北市三重區過田里26鄰重新路四段57號1樓,(02)89811737#11,新北市三重區重新路四段57號
011XC9,新北市私立英群幼兒園,[241]新北市三重區福祉里18鄰捷運路2號3樓,(02)29703228,新北市三重區捷運路2號
011XCB,新北市私立幼苗國際幼兒園,[241]新北市三重區培德里19鄰中正北路165巷2號1樓，2樓，3樓,(02)89814080,新北市三重區中正北路165巷2號
011XCC,新北市私立強森園幼兒園,[241]新北市三重區立德里19鄰三張街149巷16號1，2樓,(02)29882999,新北市三重區三張街149巷16號
011XCD,新北市私立班博士幼兒園,[241]新北市三重區大德里10鄰三和路1段48號1、2樓、50號1、2樓,(02)29725412,新北市三重區三和路1段48號
011XCF,新北市私立安喬幼兒園,[241]新北市三重區清和里19鄰福和街18、20號1樓,(02)29776774,新北市三重區福和街18、20號
011XCG,新北市私立艾美樂幼兒園,[241]新北市三重區光明里28鄰集美街112巷9號1樓、2樓、11號1樓,(02)29753317,新北市三重區集美街112巷9號
011XCI,新北市私立新天使幼兒園,[241]新北市三重區溪美里5鄰仁政街76巷6、8、10、12號各1樓及6號2樓、12號2樓,(02)29850518,新北市三重區仁政街76巷6、8、10、12號
011XCJ,新北市私立益智幼兒園,[241]新北市三重區福祉里1鄰集美街5號、7號2樓,(02)89722600,新北市三重區集美街5號
011XCK,新北市私立華納幼兒園,[241]新北市三重區光田里25鄰中山路108號1、2樓,(02)89826868,新北市三重區中山路108號
011XCL,新北市私立象寶園幼兒園,[241]新北市三重區田中里5鄰忠孝路三段40巷59號1，2，3樓,(02)89818593,新北市三重區忠孝路三段40巷59號
011XCN,新北市私立威妮斯特堡幼兒園,[241]新北市三重區富貴里22鄰五華街161號1、2樓,(02)28572999,新北市三重區五華街161號
011XCO,新北市私立威明幼兒園,[241]新北市三重區正義里3鄰信義西街116號2樓,(02)29881842,新北市三重區信義西街116號
011XCP,新北市私立悅園幼兒園,[241]新北市三重區仁華里20鄰碧華街148巷18之1號1樓,(02)28573915,新北市三重區碧華街148巷18之1號
011XCQ,新北市私立華兒園精緻幼兒園,[241]新北市三重區長泰里17鄰三和路二段75號2樓,(02)89720100,新北市三重區三和路二段75號
011Xcs,新北市私立啟文幼兒園,[241]新北市三重區福隆里18鄰溪尾街106號1，2，3樓,(02)22877049,新北市三重區溪尾街106號
011XCU,新北市私立勁寶兒喜星園幼兒園,[241]新北市三重區成功里19鄰成功路28號1，2樓,(02)89729002,新北市三重區成功路28號
011XCV,新北市私立喬大幼兒園,[241]新北市三重區立德里14鄰力行路1段179巷10號1樓、2樓,(02)29899921,新北市三重區力行路1段179巷10號
011XCW,新北市私立惠文幼兒園,[241]新北市三重區富貴里18鄰五華街149號1樓,(02)28570626#101,新北市三重區五華街149號
011XCY,新北市私立新永福幼兒園,[241]新北市三重區永福里11鄰力行路2段136巷23弄20號2樓及22、24、26號1、2樓,(02)22869049,新北市三重區力行路2段136巷23弄20號
011XD0,新北市私立邦喬妮幼兒園,[241]新北市三重區五順里23鄰五華街21巷3號1樓，5樓1樓,(02)29831314,新北市三重區五華街21巷3號
011XD2,新北市私立巧新幼兒園,[235]新北市中和區新南里37鄰景平路509號1、2樓,(02)82453686,新北市中和區景平路509號
011XDB,新北市私立底格里思幼兒園,[235]新北市中和區平河里62鄰中正路675號1~2樓,(02)82266588,新北市中和區中正路675號
011XDC,新北市私立汎音幼兒園,[235]新北市中和區福和里14鄰中山路二段81號,(02)22441677#8,新北市中和區中山路二段81號
011XDD,新北市私立興南幼兒園,[235]新北市中和區景平里26鄰景新街347號2樓,(02)89421996,新北市中和區景新街347號
011XDE,南山學校財團法人新北市南山高級中學附設私立員工幼兒園,[235]新北市中和區枋寮里19鄰廣福路41號1樓,(02)22453000#411,新北市中和區廣福路41號
011XDF,新北市私立真理蒙特梭利幼兒園,[235]新北市中和區景新里11鄰興南路一段34巷2號1、2、3樓,(02)29495671,新北市中和區興南路一段34巷2號
011XDI,新北市私立創意蘋果幼兒園,[235]新北市中和區錦和里2鄰圓通路367巷2號2樓,(02)22460906,新北市中和區圓通路367巷2號
011XDL,新北市私立雙和巨星幼兒園,[235]新北市中和區瓦窯里21鄰光華街100號、102號及106號1樓,(02)82455738,新北市中和區光華街100號
011XDN,新北市私立小小幼兒園,[235]新北市中和區秀仁里5鄰大勇街60巷16號1樓，18號1樓，16之1號,(02)89431159,新北市中和區大勇街60巷16號
011XDO,新北市私立安特幼兒園,[235]新北市中和區新南里40鄰景平路431巷1號1樓、3號1~2樓,(02)22477523,新北市中和區景平路431巷1號
011XDP,新北市私立宜安幼兒園,[235]新北市中和區安和里15鄰宜安路99號2樓,(02)29427640,新北市中和區宜安路99號
011XDQ,財團法人新北市私立竹林高級中學附設新北市私立竹林幼兒園,[235]新北市中和區華新里27鄰華新街143巷12之1號1、2樓,(02)29469271,新北市中和區華新街143巷12之1號
011XDR,新北市私立小博士幼兒園,[235]新北市中和區平河里2鄰中正路792號1，2，3樓，800號2樓之3,(02)22287342,新北市中和區中正路792號
011XDS,新北市私立新天地國際蒙特梭利幼兒園,[235]新北市中和區泰安里42鄰景安路49號1、2樓,(02)29477317,新北市中和區景安路49號
011XDT,新北市私立弘恩幼兒園,[235]新北市中和區積穗里12鄰員山路406號1~2樓,(02)82218028,新北市中和區員山路406號
011XDV,新北市私立華登幼兒園,[235]新北市中和區新南里37鄰景平路505號1樓及505之1號2樓,(02)22424541,新北市中和區景平路505號
011XDW,新北市私立民治園幼兒園,[235]新北市中和區明穗里27鄰民治街4號1樓，4-1號1樓,(02)22236161,新北市中和區民治街4號
011XDY,新北市私立泡泡龍幼兒園,[235]新北市中和區外南里21鄰復興路55號1樓、2樓,(02)29406245,新北市中和區復興路55號
011XDZ,新北市私立安安堡幼兒園,[235]新北市中和區中原里1鄰橋和路298號1，2樓,(02)22408376,新北市中和區橋和路298號
011XE0,新北市私立安欣幼兒園,[235]新北市中和區壽德里27鄰民德路358號1樓,(02)29530541,新北市中和區民德路358號
011XE3,新北市私立育才幼兒園,[235]新北市中和區漳和里9鄰景新街48號1、2樓及2樓之1,(02)22463876,新北市中和區景新街48號
011XE5,新北市私立瑞迪爾幼兒園,[235]新北市中和區積穗里6鄰員山路428號1及2樓,(02)22268718,新北市中和區員山路428號
011XE6,新北市私立芫銘幼兒園,[235]新北市中和區秀明里10鄰大勇街25巷29弄4號1樓,(02)29460022,新北市中和區大勇街25巷29弄4號
011XE7,新北市私立春池幼兒園,[235]新北市中和區安樂里29鄰宜安路118巷2號1樓及112號2樓、2樓之1、2樓之2、2樓之3,(02)32338909#115,新北市中和區宜安路118巷2號
011XE8,新北市私立科見幼兒園,[234]新北市永和區民權里1鄰民權路53號3樓之1,(02)29491375,新北市永和區民權路53號
011XEA,新北市私立時代幼兒園,[235]新北市中和區德穗里15鄰莒光路84巷22號1樓、24號1樓,(02)29585161,新北市中和區莒光路84巷22號
011XEC,新北市私立日光幼兒園,[235]新北市中和區新南里25鄰中正路80號2樓之1,(02)22462222,新北市中和區中正路80號
011XED,新北市私立普林斯頓幼兒園,[235]新北市中和區平河里51鄰中正路839巷31號,(02)82212186,新北市中和區中正路839巷31號
011XEE,新北市私立景光幼兒園,[235]新北市中和區景南里5鄰景新街467巷35弄16，18號各1樓,(02)29427833,新北市中和區景新街467巷35弄16，18號
